Date,Open,High,Low,Close,Adj Close,Volume
11/17/06,156.207993,158.095001,154.453995,155.373993,87.951057,7297879
11/20/06,155.412003,155.412003,151.052994,153.707001,87.007439,8746077
11/21/06,154.645996,157.501007,154.100006,156.552994,88.618454,3341147
11/22/06,156.188995,160.011993,156.188995,159.608994,90.348328,6285828
11/23/06,160.145996,161.621002,156.763,157.587006,89.203766,7540033
11/24/06,158.095001,159.255005,156.858994,158.190994,89.545662,3421797
11/27/06,158.938004,159.973007,158.057007,158.776001,89.876808,2353758
11/28/06,158.057007,158.057007,154.664993,155.296997,87.907478,7876962
11/29/06,156.725006,157.520004,153.811996,155.210999,87.858803,6740270
11/30/06,156.179001,157.136993,154.675003,155.057999,87.772186,7454185
12/1/06,173.042007,173.042007,155.268997,161.516006,91.427818,10001085
12/4/06,162.024002,170.513,162.024002,169.085007,95.712326,18491097
12/5/06,170.167999,170.867004,167.294006,169.210007,95.783081,6699838
12/6/06,167.121002,170.167999,165.569,168.912994,95.614967,4822862
12/7/06,168.634995,171.701004,167.322006,171.069,96.835388,3963219
12/8/06,170.550995,171.317993,165.425003,166.104996,94.025459,5872841
12/11/06,166.679993,166.679993,156.179001,160.863998,91.058739,6394422
12/12/06,160.778,163.078003,144.681,157.184998,88.976204,11916839
12/13/06,159.360001,163.843994,153.621002,161.179993,91.237617,6957224
12/14/06,161.449005,164.610992,160.222,162.589005,92.035194,4875057
12/15/06,164.362,165.942993,163.490005,164.466995,93.098251,4003145
12/18/06,165.013,171.509003,159.292999,171.069,96.835388,10275295
12/19/06,171.011002,171.662994,162.522003,165.070999,93.44014,7600284
12/20/06,165.376999,168.817001,158.737,160.289001,90.733261,10803050
12/21/06,160.011993,166.526993,160.011993,165.626007,93.754311,4890273
12/22/06,162.244003,165.751007,162.244003,164.820999,93.298637,2948235
12/26/06,166.699005,170.839005,163.268997,169.507004,95.95121,5127073
12/27/06,169.785004,174.940002,167.725006,173.761002,98.359207,8199677
12/28/06,174.384003,177.248993,171.701004,173.052002,97.957886,9620656
12/29/06,174.384003,175.093002,170.561005,172.582993,97.692413,4262472
1/2/07,172.869995,178.983002,171.537994,178.121002,100.827255,4397706
1/3/07,179.136002,184.348999,179.136002,179.796997,101.775955,12146834
1/4/07,187.798004,189.408005,180.324005,181.492996,102.735992,9239626
1/5/07,182.048996,183.007004,178.091995,179.634995,101.68425,7578080
1/8/07,179.175003,180.860992,172.468002,177.929001,100.718575,8149059
1/9/07,178.024994,178.983002,172.850998,174.595001,98.831314,6023636
1/10/07,174.173004,176.108994,171.537994,174.087006,98.543762,8956607
1/11/07,174.384003,176.682999,172.860001,175.983994,99.617569,6246930
1/12/07,176.492004,181.072006,175.016006,180.363007,102.096359,8533762
1/15/07,182.001007,182.470993,178.830002,181.761993,102.888268,4991739
1/16/07,182.048996,184.233994,181.205994,183.496002,103.86982,4501938
1/17/07,184.809006,186.744003,181.473999,184.876007,104.650993,6234427
1/18/07,186.839996,186.839996,180.612,182.901993,103.533569,4936132
1/19/07,183.563004,184.865997,178.216003,182.182999,103.126587,7486263
1/22/07,183.007004,185.671005,180.181,184.598007,104.493629,9403582
1/23/07,184.923996,185.843002,181.091003,182.134995,103.099411,3187440
1/24/07,183.007004,183.735001,173.731995,175.542999,99.36795,10491952
1/25/07,182.815994,185.651993,175.341995,177.766006,100.626305,7573837
1/29/07,177.641998,178.014999,171.729996,172.362,97.567299,6033431
1/31/07,174.384003,178.216003,166.335007,168.309006,95.273056,6819339
2/1/07,170.320999,174.384003,169.229004,173.684006,98.315636,3286375
2/2/07,176.261993,176.779007,173.233994,174.354996,98.695457,4498770
2/5/07,175.149994,176.837006,171.548004,176.117996,99.693428,4885326
2/6/07,176.875,177.832993,174.001007,176.309998,99.802101,3160539
2/7/07,176.473007,176.664001,171.931,172.908005,97.876373,4691432
2/8/07,174.766998,178.216003,170.781006,171.854004,97.279747,3914041
2/9/07,171.854004,174.574997,169.612,173.434998,98.17469,4583903
2/12/07,178.216003,178.216003,165.376999,167.686005,94.92041,8906182
2/13/07,167.485001,173.052002,162.886002,166.095993,94.020363,5986173
2/14/07,167.485001,167.485001,159.628006,162.923996,92.224815,14323292
2/15/07,166.718994,170.550995,163.268997,166.584,94.296608,11121663
2/19/07,168.634995,170.360001,165.759995,166.679993,94.350937,3008016
2/20/07,166.526993,167.283997,162.886002,164.035995,92.854294,3302948
2/21/07,164.035995,167.102005,163.268997,164.582001,93.163353,4584273
2/22/07,164.802002,165.970993,158.479004,159.973007,90.554375,7681169
2/23/07,162.024002,162.024002,152.345993,156.561996,88.623543,8937257
2/26/07,157.136993,162.656006,152.576004,160.882996,91.069489,5110536
2/27/07,161.639999,162.666,156.207993,157.779007,89.312439,3178083
2/28/07,153.304001,155.220993,144.748001,149.970001,84.892075,10528793
3/1/07,153.496002,155.968002,147,151.205994,85.591713,10387198
3/2/07,152.345993,152.345993,148.130005,148.589996,84.110901,8387862
3/5/07,148.341003,149.279999,139.507004,141.787003,80.26001,10832915
3/6/07,142.955994,147.115005,137.408997,139.238998,78.81768,15055336
